Level	XP needed	XP total	EP gained	EP total
2	5	5	8	8
3	15	20	8	16
4	20	40	8	24
5	30	70	8	32
6	50	120	8	40
7	70	190	8	48
8	80	270	8	56
9	90	360	8	64
10	90	450	12	76
11	100	550	12	88
12	110	660	12	100
13	120	780	12	112
14	130	910	12	124
15	140	1050	12	136
16	150	1200	12	148
17	160	1360	12	160
18	170	1530	12	172
19	180	1710	12	184
20	190	1900	16	200
21	200	2100	16	216
22	210	2310	16	232
23	220	2530	16	248
24	230	2760	16	264
25	240	3000	16	280
26	250	3250	16	296
27	260	3510	16	312
28	270	3780	16	328
29	280	4060	16	344
30	290	4350	20	364
31	300	4650	20	384
32	310	4960	20	404
33	320	5280	20	424
34	330	5610	20	444
35	340	5950	20	464
36	350	6300	20	484
37	360	6660	20	504
38	370	7030	20	524
39	380	7410	20	544
40	390	7800	24	568
41	400	8200	24	592
42	410	8610	24	616
43	420	9030	24	640
44	430	9460	24	664
45	440	9900	24	688
46	450	10350	24	712
47	460	10810	24	736
48	470	11280	24	760
49	480	11760	24	784
50	490	12250	28	812
51	500	12750	28	840
52	510	13260	28	868
53	520	13780	28	896
54	530	14310	28	924
55	540	14850	28	952
56	550	15400	28	980
57	560	15960	28	1008
58	570	16530	28	1036
59	580	17110	28	1064
60	590	17700	40	1104
61	1150	18850	40	1144
62	2228	21078	40	1184
63	1370	22448	40	1224
64	1460	23908	40	1264
65	1554	25462	40	1304
66	2036	27498	40	1344
67	2750	30248	40	1384
68	4538	34786	40	1424
69	5218	40004	40	1464
70	6800	46804	40	1504
71	7957	54761	40	1544
72	8952	63713	40	1584
73	9287	73000	50	1634
74	12000	85000	50	1684
